Source,Target,Weight,Type
SOURCE,140.123.103.250,199,Directed
140.123.103.250,140.123.9.249,198,Directed
140.123.9.249,140.123.0.246,196,Directed
140.123.0.246,140.130.252.251,188,Directed
140.130.252.251,211.22.226.198,55,Directed
211.22.226.198,220.128.25.89,1,Directed
220.128.25.89,211.22.228.145,1,Directed
211.22.228.145,203.66.35.10,1,Directed
203.66.35.10,203.66.35.10,1,Directed
140.130.252.251,192.192.61.142,121,Directed
192.192.61.142,192.192.61.20,78,Directed
192.192.61.20,192.192.61.48,57,Directed
192.192.61.48,192.192.68.62,50,Directed
192.192.68.62,203.163.222.15,6,Directed
203.163.222.15,104.44.51.224,2,Directed
104.44.51.224,104.44.23.163,1,Directed
104.44.23.163,104.44.31.136,1,Directed
104.44.31.136,104.44.20.40,1,Directed
104.44.20.40,4.216.205.136,1,Directed
4.216.205.136,4.216.205.136,1,Directed
211.22.226.198,220.128.13.13,1,Directed
220.128.13.13,211.22.224.137,1,Directed
211.22.224.137,203.66.32.136,1,Directed
203.66.32.136,203.66.32.136,1,Directed
211.22.226.198,220.128.9.222,3,Directed
220.128.9.222,220.128.8.194,1,Directed
220.128.8.194,220.128.9.193,1,Directed
220.128.9.193,211.22.227.225,1,Directed
211.22.227.225,203.66.32.69,1,Directed
203.66.32.69,203.66.32.69,1,Directed
211.22.226.198,220.128.2.197,1,Directed
220.128.2.197,203.75.72.89,1,Directed
203.75.72.89,203.75.250.229,1,Directed
203.75.250.229,203.69.108.158,1,Directed
203.69.108.158,211.72.255.68,1,Directed
211.72.255.68,211.72.255.68,1,Directed
192.192.61.142,192.192.61.37,22,Directed
192.192.61.37,192.192.61.32,22,Directed
192.192.61.32,192.192.61.209,22,Directed
192.192.61.209,10.96.81.12,38,Directed
211.22.226.198,220.128.9.130,3,Directed
220.128.9.130,220.128.8.194,2,Directed
220.128.8.194,220.128.9.45,1,Directed
220.128.9.45,211.22.224.109,1,Directed
211.22.224.109,203.66.32.202,1,Directed
203.66.32.202,203.66.32.202,1,Directed
192.192.61.48,192.72.123.101,2,Directed
192.72.123.101,139.175.57.63,2,Directed
139.175.57.63,139.175.57.106,1,Directed
139.175.57.106,192.72.108.162,1,Directed
192.72.108.162,131.125.149.79,1,Directed
131.125.149.79,192.230.121.1,1,Directed
192.230.121.1,192.230.121.1,1,Directed
192.192.61.142,192.192.61.9,21,Directed
192.192.61.9,192.192.61.30,17,Directed
192.192.61.30,192.192.61.4,17,Directed
192.192.61.4,192.192.61.209,17,Directed
211.22.226.198,220.128.26.133,2,Directed
220.128.26.133,211.22.229.89,2,Directed
211.22.229.89,203.66.35.100,1,Directed
203.66.35.100,203.66.35.100,1,Directed
104.44.51.224,13.106.238.163,1,Directed
13.106.238.163,4.189.216.254,1,Directed
4.189.216.254,4.189.216.254,1,Directed
192.192.68.62,203.163.222.39,19,Directed
203.163.222.39,104.18.0.113,1,Directed
104.18.0.113,104.18.0.113,1,Directed
10.96.81.12,10.96.81.12,9,Directed
211.22.226.198,220.128.26.49,1,Directed
220.128.26.49,211.22.229.89,1,Directed
211.22.229.89,203.66.35.103,1,Directed
203.66.35.103,203.66.35.103,1,Directed
203.163.222.39,172.65.90.66,2,Directed
172.65.90.66,172.65.90.66,2,Directed
203.163.222.39,172.65.90.67,1,Directed
172.65.90.67,172.65.90.67,1,Directed
211.22.226.198,220.128.13.133,1,Directed
220.128.13.133,211.22.224.137,1,Directed
211.22.224.137,203.66.32.142,1,Directed
203.66.32.142,203.66.32.142,1,Directed
192.192.68.62,210.176.44.177,4,Directed
210.176.44.177,202.84.230.89,2,Directed
202.84.230.89,202.84.143.161,2,Directed
202.84.143.161,202.84.157.37,2,Directed
202.84.157.37,54.230.71.36,1,Directed
54.230.71.36,54.230.71.36,1,Directed
211.22.226.198,220.128.2.225,4,Directed
220.128.2.225,168.95.229.13,1,Directed
168.95.229.13,203.69.108.45,1,Directed
203.69.108.45,210.242.70.113,1,Directed
