# Taiwan ISP Topology Mapping - Comprehensive Target List
# Research: HiNet (AS3462), SEEDnet (AS4780), Taiwan Fixed Network (AS9924)

## GOVERNMENT - CENTRAL MINISTRIES (12 targets)
president.gov.tw                    # Presidential Office
ey.gov.tw                          # Executive Yuan
mofa.gov.tw                        # Ministry of Foreign Affairs
moi.gov.tw                         # Ministry of Interior
mof.gov.tw                         # Ministry of Finance
moj.gov.tw                         # Ministry of Justice
mnd.gov.tw                         # Ministry of National Defense
moea.gov.tw                        # Ministry of Economic Affairs
motc.gov.tw                        # Ministry of Transportation
moe.gov.tw                         # Ministry of Education
mohw.gov.tw                        # Ministry of Health and Welfare
ncc.gov.tw                         # National Communications Commission

## GOVERNMENT - LOCAL GOVERNMENTS (8 targets)
gov.taipei                         # Taipei City Government
kcg.gov.tw                        # Kaohsiung City Government
taichung.gov.tw                   # Taichung City Government
tainan.gov.tw                     # Tainan City Government
ntpc.gov.tw                       # New Taipei City
taoyuan.gov.tw                    # Taoyuan City
hccg.gov.tw                       # Hsinchu City
chcg.gov.tw                       # Changhua County

## GOVERNMENT - CRITICAL SERVICES (8 targets)
npa.gov.tw                        # National Police Agency
nfa.gov.tw                        # National Fire Agency
immigration.gov.tw                # National Immigration Agency
judicial.gov.tw                   # Judicial Yuan
cib.gov.tw                        # Criminal Investigation Bureau
hpa.gov.tw                        # Health Promotion Administration
cdc.gov.tw                        # Centers for Disease Control
cwb.gov.tw                        # Central Weather Bureau

## UNIVERSITIES - MAJOR INSTITUTIONS (15 targets)
ntu.edu.tw                        # National Taiwan University (Taipei)
nthu.edu.tw                       # National Tsing Hua University (Hsinchu)
nctu.edu.tw                       # National Yang Ming Chiao Tung University (Hsinchu)
ncu.edu.tw                        # National Central University (Taoyuan)
nchu.edu.tw                       # National Chung Hsing University (Taichung)
ncku.edu.tw                       # National Cheng Kung University (Tainan)
nsysu.edu.tw                      # National Sun Yat-sen University (Kaohsiung)
ccu.edu.tw                        # National Chung Cheng University (Chiayi)
ntnu.edu.tw                       # National Taiwan Normal University (Taipei)
nuk.edu.tw                        # National University of Kaohsiung
tku.edu.tw                        # Tamkang University (Private)
fcu.edu.tw                        # Feng Chia University (Private)
cycu.edu.tw                       # Chung Yuan Christian University (Private)
tmu.edu.tw                        # Taipei Medical University
nccu.edu.tw                       # National Chengchi University

## FINANCIAL - MAJOR BANKS (16 targets)
bot.com.tw                        # Bank of Taiwan
megabank.com.tw                   # Mega International Commercial Bank
landbank.com.tw                   # Land Bank of Taiwan
tcb-bank.com.tw                   # Taiwan Cooperative Bank
firstbank.com.tw                  # First Commercial Bank
huananbank.com.tw                 # Hua Nan Commercial Bank
changhwabank.com.tw               # Chang Hwa Commercial Bank
ctbcbank.com                      # CTBC Bank
cathaybk.com.tw                   # Cathay United Bank
fubon.com                         # Fubon Financial Holding
esunbank.com.tw                   # E.Sun Commercial Bank
taishinbank.com.tw                # Taishin International Bank
sinopac.com                       # SinoPac Financial Holdings
skbank.com.tw                     # Sunny Bank
tcbbank.com.tw                    # Taiwan Cooperative Bank
yuanta.com                        # Yuanta Financial Holding

## FINANCIAL - INFRASTRUCTURE (4 targets)
twse.com.tw                       # Taiwan Stock Exchange
tpex.org.tw                       # Taipei Exchange
tdcc.com.tw                       # Taiwan Depository & Clearing Corporation
fisc.com.tw                       # Financial Information Service Co.

## E-COMMERCE & TECH (15 targets)
pchome.com.tw                     # PChome Online
24h.pchome.com.tw                 # PChome 24h Shopping
momoshop.com.tw                   # Momo Shopping
shopee.tw                         # Shopee Taiwan
ruten.com.tw                      # Ruten (eBay Taiwan)
books.com.tw                      # Books.com.tw
104.com.tw                        # 104 Job Bank
1111.com.tw                       # 1111 Job Bank
yes123.com.tw                     # yes123 Job Bank
591.com.tw                        # 591 Real Estate
mobile01.com                      # Mobile01 Forum
ptt.cc                            # PTT Bulletin Board System
dcard.tw                          # Dcard
bahamut.com.tw                    # Bahamut Gaming Forum
gamer.com.tw                      # Gamer (Bahamut parent)

## MEDIA - NEWS & BROADCASTING (12 targets)
ltn.com.tw                        # Liberty Times Net
udn.com                           # United Daily News
chinatimes.com                    # China Times
appledaily.com.tw                 # Apple Daily Taiwan
tvbs.com.tw                       # TVBS
settv.com.tw                      # Sanlih E-Television (SET)
cts.com.tw                        # Chinese Television System
ftv.com.tw                        # Formosa TV
pts.org.tw                        # Public Television Service
cna.com.tw                        # Central News Agency
storm.mg                          # The Storm Media
thenewslens.com                   # The News Lens

## TELECOM & ISP (8 targets)
cht.com.tw                        # Chunghwa Telecom
fetnet.net                        # FarEasTone Telecommunications
taiwanmobile.com                  # Taiwan Mobile
aptg.com.tw                       # Asia Pacific Telecom
tstar.com.tw                      # T Star
chief.com.tw                      # Chief Telecom
so-net.net.tw                     # So-net Taiwan
seednet.net                       # SeedNet

## HOSPITALS & HEALTHCARE (10 targets)
ntuh.gov.tw                       # National Taiwan University Hospital
vghtpe.gov.tw                     # Taipei Veterans General Hospital
mmh.org.tw                        # MacKay Memorial Hospital
cgmh.org.tw                       # Chang Gung Memorial Hospital
kmuh.org.tw                       # Kaohsiung Medical University Hospital
nckuh.org.tw                      # National Cheng Kung University Hospital
vghks.gov.tw                      # Kaohsiung Veterans General Hospital
tch.org.tw                        # Taichung Hospital
vghtc.gov.tw                      # Taichung Veterans General Hospital
chimei.org.tw                     # Chi Mei Medical Center

## CRITICAL INFRASTRUCTURE (8 targets)
taipower.com.tw                   # Taiwan Power Company
cpc.com.tw                        # CPC Corporation (Oil/Gas)
taiwan-water.com                  # Taiwan Water Corporation
thsrc.com.tw                      # Taiwan High Speed Rail
railway.gov.tw                    # Taiwan Railways Administration
metro.taipei                      # Taipei Metro
krtco.com.tw                      # Kaohsiung Rapid Transit
taoyuan-airport.com               # Taoyuan International Airport

## CDN & GLOBAL TECH - LOCAL PRESENCE (10 targets)
google.com.tw                     # Google Taiwan
facebook.com                      # Facebook (check TW CDN)
youtube.com                       # YouTube (check TW CDN)
netflix.com                       # Netflix (check TW CDN)
yahoo.com.tw                      # Yahoo Taiwan
microsoft.com                     # Microsoft
apple.com                         # Apple
amazon.com                        # Amazon
cloudflare.com                    # Cloudflare
akamai.com                        # Akamai

## DNS RESOLVERS - ISP (6 targets)
168.95.1.1                        # HiNet Primary DNS
168.95.192.1                      # HiNet Secondary DNS
139.175.10.20                     # SeedNet Primary DNS
139.175.150.20                    # SeedNet Secondary DNS
203.133.1.8                       # Taiwan Mobile DNS
210.241.0.4                       # Taiwan Mobile DNS Alt

## RESEARCH & EDUCATION NETWORK (4 targets)
twaren.net                        # Taiwan Advanced Research & Education Network
tanet.edu.tw                      # Taiwan Academic Network
nchc.org.tw                       # National Center for High-performance Computing
sinica.edu.tw                     # Academia Sinica

## ADDITIONAL HIGH-VALUE TARGETS (10 targets)
gov.tw                            # Main government portal
