Router List
================================================================================
Total: 562 routers
Generated: 2025-10-23 15:07:31
================================================================================

   1. 140.123.103.250    csgate103.cs.ccu.edu.tw
   2. 211.22.226.198     211-22-226-198.caw1-3332.hinet.net
   3. 211.73.76.209      tp-a1.twaren.net
   4. 211.79.57.25       ccu-ccu-76.twaren.net
   5. 210.69.250.126     210-69-250-126.hinet-ip.hinet.net
   6. 203.163.222.39     39-222-163-203-static.tpix.net.tw
   7. 61.31.254.69       61-31-254-69.static.tfn.net.tw
   8. 118.163.56.205     118-163-56-205.hinet-ip.hinet.net
   9. 211.22.242.169     www.chimei.org.tw
  10. 203.163.222.15     15-222-163-203-static.tpix.net.tw
  11. 211.73.76.198      tn-a2.twaren.net
  12. 211.73.76.141      hc-a2.twaren.net
  13. 211.73.76.218      nsysu-a1.twaren.net
  14. 210.69.250.118     210-69-250-118.hinet-ip.hinet.net
  15. 223.200.89.126     223-200-89-126.hinet-ip.hinet.net
  16. 210.69.250.49      210-69-250-49.hinet-ip.hinet.net
  17. 220.128.4.217      220-128-4-217.tpdt-3309.hinet.net
  18. 60.199.27.161      60-199-27-161.static.tfn.net.tw
  19. 60.199.27.121      60-199-27-121.static.tfn.net.tw
  20. 220.128.4.213      220-128-4-213.tpdt-3309.hinet.net
  21. 211.73.76.81       tp-a1.twaren.net
  22. 140.112.0.69       wan0069.cc.ntu.edu.tw
  23. 140.112.0.201      core_wan_0201.cc.ntu.edu.tw
  24. 211.73.76.150      ncu-a1.twaren.net
  25. 211.79.58.26       nsysu_nsysu-a1.twaren.net
  26. 220.128.4.221      220-128-4-221.tpdt-3310.hinet.net
  27. 210.69.250.81      210-69-250-81.hinet-ip.hinet.net
  28. 60.199.82.101      60-199-82-101.static.tfn.net.tw
  29. 202.39.35.201      202-39-35-201.hinet-ip.hinet.net
  30. 220.128.4.225      220-128-4-225.tpdt-3310.hinet.net
  31. 220.128.27.42      220-128-27-42.tne1-3052.hinet.net
  32. 139.175.57.61      r57-61.seed.net.tw
  33. 220.128.9.62       220-128-9-62.tylc-3032.hinet.net
  34. 211.79.51.26       ncu-76-ncu.twaren.net
  35. 192.72.107.190     h190-192-72-107.seed.net.tw
  36. 139.175.57.63      r57-63.seed.net.tw
  37. 60.199.82.13       60-199-82-13.static.tfn.net.tw
  38. 60.199.17.230      60-199-17-230.static.tfn.net.tw
  39. 60.199.28.185      60-199-28-185.static.tfn.net.tw
  40. 203.79.254.53      203-79-254-53.ebix.net.tw
  41. 139.175.58.130     r58-130.seed.net.tw
  42. 203.163.222.6      6-222-163-203-static.tpix.net.tw
  43. 61.219.29.194      61-219-29-194.hinet-ip.hinet.net
  44. 192.72.123.101     h101-192-72-123.seed.net.tw
  45. 220.128.9.58       220-128-9-58.tylc-3032.hinet.net
  46. 220.128.2.225      220-128-2-225.tpdb-3316.hinet.net
  47. 61.64.127.249      gw.so-net.net.tw
  48. 210.69.231.170     210-69-231-170.hinet-ip.hinet.net
  49. 163.29.46.145      163-29-46-145.hinet-ip.hinet.net
  50. 211.73.76.154      nctu-a1.twaren.net
  51. 211.73.76.86       ntu-a1.twaren.net
  52. 139.175.57.186     r57-186.seed.net.tw
  53. 60.199.82.97       60-199-82-97.static.tfn.net.tw
  54. 192.72.107.98      h98-192-72-107.seed.net.tw
  55. 60.199.28.121      60-199-28-121.static.tfn.net.tw
  56. 220.128.8.222      220-128-8-222.tyfo-3031.hinet.net
  57. 192.72.123.77      h77-192-72-123.seed.net.tw
  58. 163.29.154.181     163-29-154-181.hinet-ip.hinet.net
  59. 211.22.229.89      211-22-229-89.hinet-ip.hinet.net
  60. 203.79.251.102     il203-79-251-102.static.apol.com.tw
  61. 139.175.58.146     r58-146.seed.net.tw
  62. 113.21.95.22       22-95-21-113-static.chief.net.tw
  63. 103.123.253.133    133-253-123-103-static.chief.net.tw
  64. 223.26.64.141      141-64-26-223-static.chief.net.tw
  65. 211.73.76.78       hc-a1.twaren.net
  66. 220.128.2.165      220-128-2-165.tpdb-3336.hinet.net
  67. 220.128.8.194      220-128-8-194.tyfo-3031.hinet.net
  68. 211.79.53.30       nctu-76-nctu.twaren.net
  69. 211.73.76.214      ncku-a1.twaren.net
  70. 211.79.56.26       ncku-76-ncku.twaren.net
  71. 220.128.2.213      220-128-2-213.tpdb-3316.hinet.net
  72. 203.69.62.33       customer.wan-port.ar.hinet.net
  73. 192.72.123.73      h73-192-72-123.seed.net.tw
  74. 60.199.5.130       60-199-5-130.static.tfn.net.tw
  75. 220.128.9.93       220-128-9-93.tyfo-3331.hinet.net
  76. 220.128.2.129      220-128-2-129.tpdb-4512.hinet.net
  77. 203.75.229.113     203-75-229-113.hinet-ip.hinet.net
  78. 60.251.57.77       60-251-57-77.hinet-ip.hinet.net
  79. 211.79.58.62       vghks_nsysu-a1.twaren.net
  80. 118.163.224.38     118-163-224-38.hinet-ip.hinet.net
  81. 211.22.224.137     211-22-224-137.hinet-ip.hinet.net
  82. 203.75.72.33       tn-cd-c6r1.router.hinet.net
  83. 220.128.2.217      220-128-2-217.tpdb-3335.hinet.net
  84. 220.128.8.33       220-128-8-33.tpe4-3331.hinet.net
  85. 220.128.8.241      220-128-8-241.tpe4-3331.hinet.net
  86. 163.29.222.121     163-29-222-121.hinet-ip.hinet.net
  87. 220.128.2.5        220-128-2-5.tpdb-3315.hinet.net
  88. 139.175.57.218     r57-218.seed.net.tw
  89. 168.95.228.37      h37.s228.ts.hinet.net
  90. 220.128.9.174      220-128-9-174.tylc-3032.hinet.net
  91. 210.69.253.218     210-69-253-218.hinet-ip.hinet.net
  92. 210.69.253.174     210-69-253-174.hinet-ip.hinet.net
  93. 203.75.188.197     203-75-188-197.hinet-ip.hinet.net
