Source,Target,Weight,Type
SOURCE,140.123.103.250,47,Directed
140.123.103.250,140.123.9.249,47,Directed
140.123.9.249,140.123.0.246,47,Directed
140.123.0.246,140.130.252.251,45,Directed
140.130.252.251,192.192.61.142,32,Directed
192.192.61.142,192.192.61.9,8,Directed
192.192.61.9,192.192.61.30,7,Directed
192.192.61.30,192.192.61.4,7,Directed
192.192.61.4,192.192.61.209,7,Directed
192.192.61.209,10.96.81.12,8,Directed
192.192.61.142,192.192.61.37,2,Directed
192.192.61.37,192.192.61.32,2,Directed
192.192.61.32,192.192.61.209,2,Directed
10.96.81.12,10.96.81.12,2,Directed
140.123.0.246,211.79.57.25,2,Directed
211.79.57.25,211.73.76.209,2,Directed
211.73.76.209,211.73.76.214,1,Directed
211.73.76.214,211.79.56.26,1,Directed
211.79.56.26,140.116.229.1,1,Directed
140.116.229.1,140.116.229.1,1,Directed
140.130.252.251,140.123.1.2,1,Directed
140.123.1.2,140.123.1.2,1,Directed
211.73.76.209,211.73.76.198,1,Directed
211.73.76.198,211.73.76.141,1,Directed
211.73.76.141,211.73.76.150,1,Directed
211.73.76.150,211.79.51.74,1,Directed
211.79.51.74,140.135.1.30,1,Directed
140.135.1.30,140.135.201.3,1,Directed
140.135.201.3,140.135.201.3,1,Directed
192.192.61.9,192.192.61.22,1,Directed
192.192.61.22,192.192.61.89,1,Directed
192.192.61.89,140.119.243.6,1,Directed
140.119.243.6,140.119.166.199,1,Directed
140.119.166.199,140.119.166.199,1,Directed
140.130.252.251,211.22.226.198,7,Directed
211.22.226.198,220.128.2.213,1,Directed
220.128.2.213,203.75.188.197,1,Directed
203.75.188.197,210.65.22.37,1,Directed
210.65.22.37,203.66.132.201,1,Directed
203.66.132.201,203.66.132.201,1,Directed
211.22.226.198,220.128.4.217,2,Directed
220.128.4.217,168.95.208.45,1,Directed
168.95.208.45,202.39.35.201,1,Directed
202.39.35.201,202.39.35.201,1,Directed
140.130.252.251,61.31.254.69,4,Directed
61.31.254.69,60.199.27.121,3,Directed
60.199.27.121,60.199.82.97,2,Directed
60.199.82.97,60.199.47.190,1,Directed
60.199.47.190,219.87.23.191,1,Directed
219.87.23.191,219.87.23.191,1,Directed
220.128.4.217,60.248.150.182,1,Directed
60.248.150.182,60.248.150.182,1,Directed
211.22.226.198,220.128.4.17,1,Directed
220.128.4.17,203.75.188.177,1,Directed
203.75.188.177,61.222.116.238,1,Directed
61.222.116.238,61.222.116.238,1,Directed
192.192.61.142,192.192.61.20,22,Directed
192.192.61.20,192.192.61.184,8,Directed
192.192.61.184,192.192.61.203,8,Directed
192.192.61.203,72.14.196.229,8,Directed
72.14.196.229,34.110.144.106,1,Directed
34.110.144.106,34.110.144.106,1,Directed
72.14.196.229,34.149.253.14,1,Directed
34.149.253.14,34.149.253.14,1,Directed
60.199.27.121,60.199.28.185,1,Directed
60.199.28.185,60.199.28.121,1,Directed
60.199.28.121,60.199.5.130,1,Directed
60.199.5.130,219.87.1.143,1,Directed
219.87.1.143,219.87.1.143,1,Directed
61.31.254.69,60.199.27.161,1,Directed
60.199.27.161,60.199.82.101,1,Directed
60.199.82.101,60.199.47.206,1,Directed
60.199.47.206,219.80.240.66,1,Directed
219.80.240.66,10.100.159.207,1,Directed
10.100.159.207,10.100.59.21,1,Directed
10.100.59.21,10.59.242.133,1,Directed
10.59.242.133,10.59.252.1,1,Directed
10.59.252.1,103.127.231.0,1,Directed
103.127.231.0,103.127.231.0,1,Directed
192.192.61.20,192.192.61.48,13,Directed
192.192.61.48,192.192.68.62,13,Directed
192.192.68.62,203.163.222.39,4,Directed
203.163.222.39,104.18.11.27,1,Directed
104.18.11.27,104.18.11.27,1,Directed
192.192.68.62,104.18.9.226,1,Directed
104.18.9.226,104.18.9.226,1,Directed
192.192.68.62,203.163.222.15,1,Directed
203.163.222.15,104.44.51.226,1,Directed
104.44.51.226,13.106.238.151,1,Directed
13.106.238.151,168.63.250.12,1,Directed
168.63.250.12,168.63.250.12,1,Directed
72.14.196.229,34.36.92.153,1,Directed
34.36.92.153,34.36.92.153,1,Directed
192.192.61.20,192.192.61.81,1,Directed
192.192.61.81,140.112.0.69,1,Directed
140.112.0.69,10.199.199.2,1,Directed
10.199.199.2,140.112.0.201,1,Directed
140.112.0.201,140.112.0.213,1,Directed
140.112.0.213,140.112.172.11,1,Directed
140.112.172.11,140.112.172.11,1,Directed
203.163.222.39,104.19.248.7,1,Directed
104.19.248.7,104.19.248.7,1,Directed
203.163.222.39,104.18.2.197,1,Directed
104.18.2.197,104.18.2.197,1,Directed
192.192.68.62,192.192.68.28,2,Directed
192.192.68.28,192.192.68.45,1,Directed
192.192.68.45,184.84.196.184,1,Directed
184.84.196.184,184.84.196.184,1,Directed
72.14.196.229,35.244.236.6,1,Directed
35.244.236.6,35.244.236.6,1,Directed
192.192.68.62,3.169.137.122,1,Directed
3.169.137.122,3.169.137.122,1,Directed
