Router List
================================================================================
Total: 334 routers
Generated: 2025-10-23 14:41:32
================================================================================

   1. 140.123.103.250    csgate103.cs.ccu.edu.tw
   2. 211.22.226.198     211-22-226-198.caw1-3332.hinet.net
   3. 210.69.250.126     210-69-250-126.hinet-ip.hinet.net
   4. 211.79.57.25       ccu-ccu-76.twaren.net
   5. 211.73.76.209      tn-a1.twaren.net
   6. 118.163.56.205     118-163-56-205.hinet-ip.hinet.net
   7. 61.31.254.69       61-31-254-69.static.tfn.net.tw
   8. 203.163.222.39     39-222-163-203-static.tpix.net.tw
   9. 223.200.89.126     223-200-89-126.hinet-ip.hinet.net
  10. 211.73.76.198      tn-a2.twaren.net
  11. 211.73.76.141      hc-a2.twaren.net
  12. 60.199.27.121      60-199-27-121.static.tfn.net.tw
  13. 211.73.76.218      nsysu-a1.twaren.net
  14. 211.79.58.26       nsysu_nsysu-a1.twaren.net
  15. 60.199.27.161      60-199-27-161.static.tfn.net.tw
  16. 210.69.250.49      210-69-250-49.hinet-ip.hinet.net
  17. 202.39.35.201      202-39-35-201.hinet-ip.hinet.net
  18. 211.73.76.150      ncu-a1.twaren.net
  19. 211.79.51.26       ncu-76-ncu.twaren.net
  20. 210.69.250.81      210-69-250-81.hinet-ip.hinet.net
  21. 203.163.222.15     15-222-163-203-static.tpix.net.tw
  22. 140.112.0.69       wan0069.cc.ntu.edu.tw
  23. 140.112.0.201      core_wan_0201.cc.ntu.edu.tw
  24. 60.199.82.101      60-199-82-101.static.tfn.net.tw
  25. 203.79.254.53      203-79-254-53.ebix.net.tw
  26. 139.175.58.130     r58-130.seed.net.tw
  27. 220.128.4.217      220-128-4-217.tpdt-3309.hinet.net
  28. 220.128.4.221      220-128-4-221.tpdt-3310.hinet.net
  29. 60.199.28.185      60-199-28-185.static.tfn.net.tw
  30. 60.199.82.97       60-199-82-97.static.tfn.net.tw
  31. 60.199.82.13       60-199-82-13.static.tfn.net.tw
  32. 60.199.17.230      60-199-17-230.static.tfn.net.tw
  33. 220.128.4.213      220-128-4-213.tpdt-3309.hinet.net
  34. 210.69.250.118     210-69-250-118.hinet-ip.hinet.net
  35. 210.69.231.170     210-69-231-170.hinet-ip.hinet.net
  36. 163.29.154.181     163-29-154-181.hinet-ip.hinet.net
  37. 60.199.28.121      60-199-28-121.static.tfn.net.tw
  38. 220.128.2.225      220-128-2-225.tpdb-3316.hinet.net
  39. 211.73.76.154      nctu-a1.twaren.net
  40. 211.79.53.30       nctu-76-nctu.twaren.net
  41. 211.73.76.214      ncku-a1.twaren.net
  42. 211.79.56.26       ncku-76-ncku.twaren.net
  43. 61.219.29.194      61-219-29-194.hinet-ip.hinet.net
  44. 211.22.228.145     211-22-228-145.hinet-ip.hinet.net
  45. 210.69.253.218     210-69-253-218.hinet-ip.hinet.net
  46. 220.128.9.58       220-128-9-58.tylc-3032.hinet.net
  47. 220.128.9.62       220-128-9-62.tylc-3032.hinet.net
  48. 211.22.224.109     211-22-224-109.hinet-ip.hinet.net
  49. 211.22.228.209     211-22-228-209.hinet-ip.hinet.net
  50. 220.128.19.22      220-128-19-22.chch-3032.hinet.net
  51. 211.22.228.141     pths-3502.hinet.net
  52. 61.60.125.124      smtp2.ntpc.gov.tw
  53. 210.69.253.138     210-69-253-138.hinet-ip.hinet.net
  54. 210.65.22.37       210-65-22-37.hinet-ip.hinet.net
  55. 220.128.4.17       220-128-4-17.tpdb-3315.hinet.net
  56. 203.79.251.102     il203-79-251-102.static.apol.com.tw
  57. 61.222.116.238     61-222-116-238.hinet-ip.hinet.net
  58. 60.199.82.5        60-199-82-5.static.tfn.net.tw
  59. 60.199.14.10       60-199-14-10.static.tfn.net.tw
  60. 219.80.116.246     219-80-116-246.static.tfn.net.tw
  61. 210.200.80.254     210-200-80-254.d3.static.apol.com.tw
  62. 220.128.8.194      220-128-8-194.tyfo-3031.hinet.net
  63. 210.69.10.13       210-69-10-13.hinet-ip.hinet.net
  64. 163.29.183.101     163-29-183-101.hinet-ip.hinet.net
  65. 210.69.253.174     210-69-253-174.hinet-ip.hinet.net
  66. 210.69.253.186     210-69-253-186.hinet-ip.hinet.net
