========================================================================================================================
ROUTER DISCOVERY SUMMARY REPORT
========================================================================================================================
Report Generated: 2025-10-23 14:40:26
Vantage Point: university
Collection Time: 20251022_102303
Total Routers: 334
Showing: Top 100 routers by appearances
========================================================================================================================

Rank   Hostname                                           IP Address         Appearances  Targets   
------------------------------------------------------------------------------------------------------------------------
1      csgate103.cs.ccu.edu.tw                            140.123.103.250    636          212       
2      211-22-226-198.caw1-3332.hinet.net                 211.22.226.198     142          48        
3      210-69-250-126.hinet-ip.hinet.net                  210.69.250.126     82           39        
4      ccu-ccu-76.twaren.net                              211.79.57.25       60           20        
5      tn-a1.twaren.net                                   211.73.76.209      60           20        
6      118-163-56-205.hinet-ip.hinet.net                  118.163.56.205     60           1         
7      61-31-254-69.static.tfn.net.tw                     61.31.254.69       46           16        
8      39-222-163-203-static.tpix.net.tw                  203.163.222.39     36           14        
9      223-200-89-126.hinet-ip.hinet.net                  223.200.89.126     32           1         
10     tn-a2.twaren.net                                   211.73.76.198      27           9         
11     hc-a2.twaren.net                                   211.73.76.141      27           9         
12     60-199-27-121.static.tfn.net.tw                    60.199.27.121      25           10        
13     nsysu-a1.twaren.net                                211.73.76.218      24           8         
14     nsysu_nsysu-a1.twaren.net                          211.79.58.26       24           8         
15     60-199-27-161.static.tfn.net.tw                    60.199.27.161      21           8         
16     210-69-250-49.hinet-ip.hinet.net                   210.69.250.49      19           13        
17     202-39-35-201.hinet-ip.hinet.net                   202.39.35.201      19           1         
18     ncu-a1.twaren.net                                  211.73.76.150      18           6         
19     ncu-76-ncu.twaren.net                              211.79.51.26       17           6         
20     210-69-250-81.hinet-ip.hinet.net                   210.69.250.81      16           12        
21     15-222-163-203-static.tpix.net.tw                  203.163.222.15     15           5         
22     wan0069.cc.ntu.edu.tw                              140.112.0.69       15           5         
23     core_wan_0201.cc.ntu.edu.tw                        140.112.0.201      15           5         
24     60-199-82-101.static.tfn.net.tw                    60.199.82.101      15           5         
25     203-79-254-53.ebix.net.tw                          203.79.254.53      15           5         
26     r58-130.seed.net.tw                                139.175.58.130     15           5         
27     220-128-4-217.tpdt-3309.hinet.net                  220.128.4.217      13           9         
28     220-128-4-221.tpdt-3310.hinet.net                  220.128.4.221      13           9         
29     60-199-28-185.static.tfn.net.tw                    60.199.28.185      13           6         
30     60-199-82-97.static.tfn.net.tw                     60.199.82.97       12           4         
31     60-199-82-13.static.tfn.net.tw                     60.199.82.13       12           4         
